epoch,train_loss,test_loss,learning_rate,elapsed_seconds
1,0.7620385848045349,0.14364965460300447,0.0002,249.76869678497314
2,0.10538147733211517,0.031467695492506026,0.0002,249.76869678497314
3,0.06776872098445892,0.018503266856074334,0.0002,249.76869678497314
4,0.05824524478912353,0.015211462301015853,0.0002,249.76869678497314
5,0.05288740427494049,0.01606212159022689,0.0002,249.76869678497314
6,0.04792122219800949,0.013028335141390563,0.0002,249.76869678497314
7,0.04188303573131561,0.012141253731399775,0.0002,249.76869678497314
8,0.04231835383176803,0.01160791512131691,0.0002,249.76869678497314
9,0.037983612442016604,0.011346143369376659,0.0002,249.76869678497314
10,0.03553225053548813,0.01357808722704649,0.0002,249.76869678497314
11,0.03476862609386444,0.011943941546231508,0.0002,249.76869678497314
12,0.03539576573371887,0.011509423454105855,0.0002,249.76869678497314
13,0.03283580689430237,0.0105392604239285,0.0002,249.76869678497314
14,0.03125470125675201,0.010550347922742367,0.0002,249.76869678497314
15,0.02911946181058884,0.01096826177686453,0.0002,249.76869678497314
16,0.029848929792642594,0.010354545119404793,0.0002,249.76869678497314
17,0.028903040122985838,0.010006463489681483,0.0002,249.76869678497314
18,0.02694581799507141,0.010856070168316365,0.0002,249.76869678497314
19,0.026695516681671142,0.010002419403195382,0.0002,249.76869678497314
20,0.024843212556838988,0.01173474282696843,0.0002,249.76869678497314
21,0.025514978843927383,0.011003823647648096,0.0002,249.76869678497314
22,0.024434786623716353,0.011288793924450874,0.0002,249.76869678497314
23,0.02365966630578041,0.010494951450824738,0.0002,249.76869678497314
24,0.022571577668190002,0.011941742846369743,0.0002,249.76869678497314
25,0.023189453172683717,0.00999617858454585,0.0002,249.76869678497314
26,0.023032373833656312,0.011399846781790256,0.0002,249.76869678497314
27,0.022000580754876136,0.010153346920013427,0.0002,249.76869678497314
28,0.02066267908811569,0.010138198919594287,0.0002,249.76869678497314
29,0.021173975771665573,0.011986068698763848,0.0002,249.76869678497314
30,0.019642605233192445,0.009404358393698931,0.0002,249.76869678497314
31,0.02152498825788498,0.009802797178179026,0.0002,249.76869678497314
32,0.019664086818695067,0.010610858175158501,0.0002,249.76869678497314
33,0.019069419848918915,0.009615712524950505,0.0002,249.76869678497314
34,0.01926443338394165,0.008786583638936281,0.0002,249.76869678497314
35,0.019733543223142625,0.011227170611917973,0.0002,249.76869678497314
36,0.018893297547101975,0.009808729708939791,0.0002,249.76869678497314
37,0.0195324378490448,0.013057679371535779,0.0002,249.76869678497314
38,0.018012850373983383,0.010388977824151517,0.0002,249.76869678497314
39,0.018301305401325227,0.010719030974805355,0.0002,249.76869678497314
40,0.017569637191295624,0.009605912435799837,0.0002,249.76869678497314
41,0.017465970993041993,0.010990789452940226,0.0002,249.76869678497314
42,0.018320478442311286,0.01002949628084898,0.0002,249.76869678497314
43,0.01739077211022377,0.010823302257061004,0.0002,249.76869678497314
44,0.017079179257154464,0.01008455361276865,0.0002,249.76869678497314
45,0.016767680406570434,0.008985307674109936,0.0002,249.76869678497314
46,0.017762536466121675,0.009817009870707988,0.0002,249.76869678497314
47,0.017135327577590943,0.009330751102417708,0.0002,249.76869678497314
48,0.016351438391208648,0.011119109863042832,0.0002,249.76869678497314
