complexity,loss,equation,score,sympy_format,lambda_format
1,0.40408033,4.0560117,0.0,4.05601170000000,PySRFunction(X=>4.05601170000000)
3,0.1906579,RadiusTerm + -9.834053,0.3755664860978942,RadiusTerm - 9.834053,PySRFunction(X=>RadiusTerm - 9.834053)
5,0.1647773,RadiusTerm + (DistanceTerm * 0.3471108),0.07294292868205819,DistanceTerm*0.3471108 + RadiusTerm,PySRFunction(X=>DistanceTerm*0.3471108 + RadiusTerm)
7,0.05530172,TemperatureTerm + ((DistanceTerm + RadiusTerm) + 1.6558261),0.5458954270753928,DistanceTerm + RadiusTerm + TemperatureTerm + 1.6558261,PySRFunction(X=>DistanceTerm + RadiusTerm + TemperatureTerm + 1.6558261)
9,0.055296987,((DistanceTerm + 1.5742271) + (TemperatureTerm * 1.0047739)) + RadiusTerm,4.2794352043285776e-05,DistanceTerm + RadiusTerm + TemperatureTerm*1.0047739 + 1.5742271,PySRFunction(X=>DistanceTerm + RadiusTerm + TemperatureTerm*1.0047739 + 1.5742271)
