Variable,Samples,Mean,Median,Std,Min,Max,Q1,Q3,95% CI,Coefficient of Variation
T,5000,4.008736524710721,3.9602267203678485,2.804398667754868,-6.871226738829818,15.279022635983143,2.074418320974966,5.942409740752163,0.07773396515270348,0.6995717105546714
R,5000,1.4653854068698715,1.491437076860451,0.6337124052835342,-0.3201604301731722,5.748815900347935,1.092025770765538,1.8366020783231356,0.017565611692642567,0.43245442619574886
D,5000,-1.469532225296812,-1.5472430667825037,0.4174990971293046,-2.6487695095620665,1.2378205849056583,-1.7346027407832059,-1.2608866624906812,0.01157248455460018,0.28410339694658915
