teff_gspphot,phot_g_mean_flux,distance_pc,radius_gspphot
4896.8936,6783.598485278872,1071.634077220552,0.8375
4397.8647,38620.2914170563,232.5942993885034,0.709
5307.876,9817.50670748396,1254.9286409948938,0.7948
5952.5596,262440.35566148954,738.1459603246004,2.3795
4525.4976,4903.220495804258,817.7676395703697,0.8585
5047.739,3557.3173362714274,960.7497148345461,2.2008
4469.9546,3186.5983073416205,1192.699250957002,0.6795
4752.3193,3801.553118290341,1070.9905296231127,0.5084
5981.9805,100897.71919302756,847.5507780413632,2.0339
4520.7153,14263.14603732937,306.61440877959143,0.71
4185.853,2634.763827570657,870.3223451121869,0.5471
3488.9753,10241.718174997312,149.37325401698536,0.5525
5525.712,7927.174093914833,1234.3320955578886,0.7335
6527.6284,16946.44560005919,1701.027567185342,1.3752
3581.0442,1314.7003361474665,424.3769648313994,0.4469
5267.064,16426.2018359844,813.3086359466336,0.8389
4907.2896,20372.36645936904,541.9880483408033,0.8246
5220.0796,9790.015796387894,873.4529463607188,0.7097
6238.7603,16996.811555745528,1934.0465911255264,1.3724
5525.099,9368.49327017726,1775.3227796864412,0.8817
6022.2456,20075.45288281328,973.7130234239196,0.9782
3791.9631,1370.6450108453782,616.3853015752431,0.3885
4466.2607,5109.091250129518,576.9765183827105,0.7233
5281.0425,19501.63350444864,916.3672847421296,1.0126
5379.548,35797.22358004382,1038.0073659854984,1.4548
4502.689,14406.745686640124,366.34846292894304,0.6916
5830.193,17123.59622392133,2024.816724460268,1.4329
5816.089,12797.015352603712,1888.3919510658486,0.9914
3630.214,1175.7164642333564,458.5908233206835,0.4603
5899.5767,172861.2837968612,411.66738585886196,1.2668
5357.797,6021.042527770357,1425.2445294088295,0.6982
5689.805,42960.31277264945,918.645407766174,1.4597
3515.4963,1636.0214586790737,431.29871095461795,0.5061
3390.4304,1367.0127021584142,299.9729097489309,0.4572
5629.965,22988.249712756253,801.9820463421954,0.9138
4502.449,23783.951203966462,312.08240427365155,0.6723
3395.3516,1070.7338405723287,586.4480705346458,0.4928
5001.239,5786.315151937992,1171.732387693156,0.6702
6271.2515,47977.15848628756,1308.8228428155203,1.701
3378.3408,937.712111417305,310.6475525171589,0.3397
5022.524,5356.035442112662,1172.6953195883348,0.6929
5562.9062,75652.57634867718,777.6321834737064,1.5994
5287.346,46123.17332374659,1064.0074228523106,2.5202
4942.632,7877.110432598444,780.8234377809702,0.6536
4638.673,22895.46467817261,472.5715546481409,0.8838
5082.854,20186.801218697936,1487.5540502586762,1.799
5674.8193,8624.10605179024,1177.2357301919521,0.7141
5638.91,555025.1947027132,322.0683930978681,1.8173
5312.6567,74108.39821243047,1853.456869517821,6.0714
3323.203,1425.3005524391044,278.2910507686194,0.398
3376.3142,1368.6038639493502,250.5613904948446,0.3227
5806.5884,13258.446750276897,2216.5554317140727,1.3057
5667.148,17174.656365395702,2426.4084047421466,1.6698
5040.3506,8806.441654251645,1292.0346301664326,0.9742
5822.75,47530.70536247364,830.777902650943,1.4336
4234.912,27230.03359161913,216.11493349952065,0.651
6365.8774,9367.411266183686,2091.706457039917,1.0463
4589.895,3770.3554462572592,1024.973582155208,0.7386
4872.908,8607.578406909677,849.175494681005,0.8807
6391.935,19975.66742241604,1875.0610851315107,1.6521
4834.9844,54735.37301065392,304.1575301199774,0.8114
6258.5537,22063.333616139145,1615.8886549606405,1.2511
3773.6943,61544.4590504268,94.20659369309554,0.5122
4102.3125,3756.5464770886288,618.4070641630417,0.6351
5600.818,19535.34201899284,1666.3200081061902,1.9337
5971.3135,63693.27877519077,775.1093700132178,1.387
5419.9907,14495.72732427052,928.1286516487371,1.03
3782.9746,2637.6908466713576,490.94598573652604,0.6223
6281.961,21047.08205914497,1137.3065694280133,1.108
5466.073,54031.69433182088,473.21736616077294,0.9118
4792.1597,5187.495953650596,1374.167658334927,0.7838
4944.228,50224.10942606578,1122.3745552964888,3.0789
5392.9165,80002.76230664398,382.08688761286174,0.9434
5196.034,9250.974815028876,1524.0210969176003,0.9465
5380.617,34023.32159079203,1222.238410192968,1.7502
3263.8794,948.3835856063084,209.8841230206622,0.2715
6312.2993,10905.18875262342,2192.617729355111,1.0821
5392.718,7621.763527685588,1699.4118571678323,0.7522
6520.3867,33536.92047822561,1268.7329470404193,1.2329
6080.681,10182.990618840357,1919.9353390689707,0.9187
4864.5317,30791.269150161264,1895.0768171880127,3.6413
4499.1333,3041.368513583196,840.3624452120721,0.6595
6468.9307,31660.446674744773,1369.5466496078893,1.9256
4743.5225,9021.57200557977,742.3702235937074,0.9557
4473.964,4054.8730470080736,999.7281500783628,0.8778
5569.3228,77460.16457462175,953.9519673346498,1.9387
5418.268,10882.558608845276,1359.7070731831536,1.0221
5839.059,10808.548557470343,1489.5169471670781,0.8336
5745.6997,35977.71007397285,836.6886260668832,1.1324
5078.182,5658.778262691573,1401.6011750138462,0.7214
5352.6787,8105.6054472673395,1268.3224858322628,0.7284
5631.656,63457.79878704263,1201.9010751591084,1.9913
5480.902,19811.41120606787,1281.9662535581456,1.1788
5571.5034,9752.570493220182,1497.3753889183856,0.92
3791.8735,1974.2493731579848,836.6840832342124,0.6133
4584.9795,9861.051791426924,589.4407113606314,0.7593
5612.089,17155.819353444465,1805.931774967236,1.3863
3702.5303,3771.399109748728,537.9056807990771,0.6429
6129.9272,27152.643782310464,1259.5790974392746,1.2342
3435.8682,9234.001562069472,146.7218665257275,0.47
4862.8843,3429.9324498640967,1119.7792894341242,0.5233
5844.0107,8495.843304377197,1807.806617177322,0.8597
5244.9673,6241.830454502282,1300.1084943445221,0.7048
5024.628,7560.129704479199,862.3587068230651,0.679
5259.462,15004.278973635004,1646.4024148020135,1.9951
4298.328,3565.962157206779,832.9877427634733,0.7865
6034.3047,11430.916508969922,1885.105198454046,1.1849
4483.356,5225.769384131452,931.8274603318092,0.842
5667.4033,18448.069743485023,850.030898544638,0.823
5237.7163,4685.897766174224,1590.5168233817174,0.6634
3479.5874,1058.2292380048616,401.3538501202477,0.4154
4678.762,4016.650724392604,1027.7454335501159,0.8072
4789.4478,5114.015806455726,1493.5019266088543,0.807
6252.729,112939.19895999928,977.2905747751437,2.0935
6389.5527,23076.45978130692,1634.4646317019235,1.2887
4851.887,5244.345629739412,1144.3816242054324,0.5301
5380.933,30352.76307083848,703.453437805563,1.0357
5004.68,91185.8824220426,260.9660512109492,0.778
5202.4478,10997.488157228272,2291.036665736737,1.4386
5877.0977,30615.714425210157,878.6784856457828,1.1659
5483.207,8298.070789524701,1241.963845818329,0.7709
5177.222,15748.20082379136,931.9085129395677,1.0186
5294.355,13639.488336708448,975.4585814754554,1.0136
5125.6675,16157.010836407446,1063.73173311044,1.1332
6017.579,187809.9361345921,599.5805247628756,1.7785
6335.734,44208.11336638129,1197.3493794552176,1.5768
5152.9756,42216.82500345541,380.0618554994005,0.7736
5517.6064,7102.247090168607,1875.4298581358028,0.7199
6568.8184,31618.97657652781,1530.314494510376,1.5499
5345.144,16732.56813027311,1589.3489748179597,1.4417
4228.5605,11645.023517896989,279.4151339523464,0.6482
5095.924,4892.719562153586,1349.8584968893565,0.5982
3335.2913,3198.0204383425644,171.09076413920545,0.396
6211.7856,35001.814622595615,1149.4658281717193,1.3446
5399.2437,197638.66288700557,389.50479190749513,1.3936
4324.4844,2189.5195824687125,713.4529302207584,0.7472
