source_id,parallax,parallax_error,parallax_over_error,ruwe,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,teff_gspphot,radius_gspphot
138914158775568896,0.9398430673719134,0.020764349,45.26234,1.0300499,14.027569,14.652527,13.266814,1.3857126,5287.346,2.5202
138915155207968256,1.2806992613360966,0.05761126,22.230017,1.1621379,15.946449,16.549387,15.2029,1.346487,4942.632,0.6536
138915327006663168,2.116081660362657,0.028909365,73.1971,1.0154969,14.787993,15.397752,14.037876,1.3598757,4638.673,0.8838
138920137370097792,0.6722444806802861,0.026935065,24.957968,1.018268,14.924698,15.483697,14.218999,1.264698,5082.854,1.799
138925733712312704,0.8494475442373353,0.049654257,17.107244,1.0493815,15.848082,16.327253,15.195166,1.1320877,5674.8193,0.7141
138926906238503040,3.104930571986076,0.020911895,148.47678,1.1536051,11.326585,11.734231,10.745657,0.988574,5638.91,1.8173
138928108829327360,0.5395323821374658,0.01873898,28.791985,1.0985115,13.512698,14.141635,12.746709,1.3949261,5312.6567,6.0714
138929070902001024,3.5933602508527445,0.14702657,24.44021,0.9642964,17.8026,19.51912,16.548243,2.9708767,3323.203,0.398
138931991479755776,3.991037877084959,0.21554957,18.515638,1.0128773,17.846672,19.496546,16.63771,2.8588352,3376.3142,0.3227
138934808978285568,0.4511504588119844,0.041480195,10.876286,1.1364483,15.381135,15.830875,14.748475,1.0824003,5806.5884,1.3057
138936904922314496,0.41213177387846617,0.034273397,12.02483,1.1285025,15.100146,15.553491,14.470029,1.0834618,5667.148,1.6698
138939584981910016,0.7739730628359285,0.0521264,14.848005,1.0952321,15.825366,16.35372,15.123142,1.2305775,5040.3506,0.9742
138942677358335744,1.2036911391228433,0.02499903,48.149517,1.2304974,13.994931,14.48756,13.3373165,1.1502438,5822.75,1.4336
138944429705118336,4.62716751594687,0.02336652,198.02553,1.0311521,14.599747,15.523865,13.651705,1.87216,4234.912,0.651
138945048180404736,0.47807855477730477,0.045096934,10.601131,1.2051566,15.758318,16.143454,15.199441,0.94401264,6365.8774,1.0463
138958723356250112,0.9756349016306388,0.073554374,13.264132,1.0011697,16.74641,17.44372,15.957668,1.4860516,4589.895,0.7386
138960677565544704,1.1776128800980679,0.04411379,26.694893,1.0062468,15.850164,16.490738,15.086471,1.4042673,4872.908,0.8807
138963018323431168,0.5333159585730847,0.031569164,16.893572,0.9864034,14.936113,15.297169,14.402446,0.89472294,6391.935,1.6521
138966179419375104,3.2877699907858333,0.021515192,152.81155,1.054166,13.841697,14.4605665,13.090746,1.3698206,4834.9844,0.8114
138966523016751488,0.6188545212753894,0.03411364,18.14097,1.1500554,14.828189,15.1941185,14.284089,0.9100294,6258.5537,1.2511
138969821551607552,10.61496823946083,0.024990385,424.7621,1.233279,13.714395,14.714951,12.724072,1.9908781,3773.6943,0.5122
138969989055150720,1.6170578538804534,0.09430732,17.146685,1.1217091,16.750395,17.769127,15.729037,2.0400896,4102.3125,0.6351
138970921063232384,0.6001248230443577,0.033797268,17.756607,1.0698744,14.960315,15.409235,14.339559,1.0696764,5600.818,1.9337
138971333380082560,1.2901405126646155,0.021186072,60.895687,1.1015157,13.677133,14.089194,13.094795,0.9943991,5971.3135,1.387
138978617644573312,1.0774368383344162,0.033243205,32.41074,0.9738887,15.284266,15.847095,14.570099,1.2769957,5419.9907,1.03
138979992034106112,2.036883952721972,0.09431522,21.596556,0.992797,17.134308,18.37131,16.047937,2.323372,3782.9746,0.6223
138984664958515328,0.879270398044857,0.030694976,28.645418,0.980115,14.879387,15.320308,14.271717,1.0485907,6281.961,1.108
138989440962255232,2.113193791075401,0.022103986,95.60239,1.0719349,13.855745,14.342762,13.205347,1.1374149,5466.073,0.9118
138992185445814272,0.7277132407640097,0.054424834,13.370977,1.0002954,16.399973,16.952007,15.699379,1.2526283,4792.1597,0.7838
138992292820397696,0.8909681668040291,0.021425895,41.583706,1.1348239,13.935086,14.533259,13.200598,1.3326616,4944.228,3.0789
139001123273177600,2.61720575193677,0.01716442,152.47855,1.1421931,13.429605,13.925784,12.775189,1.1505947,5392.9165,0.9434
139003116137979776,0.656158895715121,0.041139845,15.949473,1.0193636,15.771898,16.164124,15.214546,0.94957733,5196.034,0.9465
