source_id,parallax,parallax_error,parallax_over_error,ruwe,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,radius_gspphot
138951301652646272,0.8860469898754808,0.064526826,13.731452,1.0707994,16.42744,17.148502,15.609095,1.5394077,0.7811
138960132105520768,0.6474671028817935,0.020560473,31.490866,0.97570956,13.874014,14.264116,13.309,0.9551163,2.6203
138961742717561344,1.998566151336725,0.17370573,11.505471,0.9382977,18.254072,19.59613,17.134855,2.461275,0.3555
138964736310332544,0.7345921134698388,0.04150484,17.69895,1.0872334,15.19289,15.648989,14.570354,1.0786343,1.126
138966179419373824,1.0337962065093642,0.022786153,45.36949,1.0297097,13.931679,14.326155,13.3639145,0.9622402,1.4663
138969512314106368,0.5796413017697915,0.056937102,10.18038,1.0164311,16.001415,16.453535,15.394108,1.0594273,0.9921
138971883136040960,2.885587008395549,0.088732794,32.51996,1.0891681,16.57951,17.820782,15.492109,2.3286724,0.6054
138974180942517120,0.6337129573788052,0.04628907,13.690336,1.1688843,15.553417,16.05973,14.886516,1.1732149,1.0882
138978411486299392,0.6224998485910161,0.023192046,26.841091,1.0315616,14.09759,14.522417,13.498361,1.0240564,2.1507
138984664958514560,1.0207188390628834,0.06539305,15.60898,1.1213539,16.023188,16.640505,15.2660885,1.3744164,0.7266
138988307090906752,1.3175707019108256,0.018538108,71.07363,1.1785672,12.699898,13.043702,12.182538,0.8611641,1.8333
138989200444092416,0.5281754629566672,0.026395038,20.010408,1.1337076,14.510369,14.858453,13.988128,0.8703251,1.6884
138996038032424576,2.9873467791074866,0.050353125,59.327934,1.094884,15.784358,16.720144,14.834432,1.8857126,0.6284
138996965744854272,0.6952762871365497,0.025287518,27.49484,0.97568357,14.396686,14.803907,13.818978,0.9849291,1.7066
139001088913441152,0.6728692271243404,0.057505075,11.70104,1.0537823,16.278711,16.872606,15.532195,1.3404112,0.9326
139001673028993664,0.6437477520759124,0.046534017,13.833918,1.0332651,15.572891,15.97803,14.932954,1.0450764,1.0324
139003219217191040,0.8036057452291736,0.026219534,30.649124,1.0243537,14.591934,14.918057,14.093734,0.82432365,1.1927
139003425375621632,0.4751072345445977,0.035902377,13.233308,1.1230671,15.312618,15.706761,14.748603,0.9581585,1.3261
139003597174325888,1.2341659121120747,0.06146004,20.080786,1.0110935,16.551924,17.317905,15.721161,1.5967445,0.7338
