,Minimum,Maximum,Mean,Median,Std,25 Percentile,75 Percentile
temperature_K,2725.1624,34999.37,5158.960088795,5152.14515,1145.363248694482,4469.921525,5772.94975
radius_m,109503180.0,423018784890.0,1136959287.534,602023995.0,4443259627.6317625,466119000.0,897209505.0
distance_m,1.1288464108178056e+18,1.9353155993594675e+20,3.5730512030764093e+19,3.152003013155269e+19,2.3093774663291236e+19,1.9176802318005166e+19,4.604989397644531e+19
flux_proxy,473.12524511333936,57184083.43190014,70666.68738028272,10427.4574450266,903375.1152041823,4311.627423044295,26458.12781371326
logT,3.4353923881988253,4.544060226979245,3.702650699523139,3.7119880897163093,0.09236848232491755,3.650299898586507,3.7613977772454987
logR,8.039426731380695,11.626359653410335,8.842062564234409,8.77961380064652,0.3198602725968208,8.668496806058476,8.952893864853742
logD,18.05263485647603,20.28675179720196,19.464361243514123,19.498586623981247,0.2907675098963416,19.282776190788105,19.663228634467366
logF,2.674976121840382,7.75727516446411,4.056541069092011,4.018178423336124,0.6348697288754719,3.6346412224272195,4.4225591089147684
