Complexity,Loss,Equation
1,0.40401527,"4.0624275"
3,0.20366578,"R + -4.781995"
5,0.1590001,"R + (-17.709972 / T)"
7,0.08196716,"(R - D) + (T * 3.9650998)"
9,0.059127882,"(((T * 3.6489022) + R) - D) * 1.4030592"
