Complexity,Loss,Equation
1,0.40401527,"4.062436"
3,0.20366578,"R - 4.781995"
5,0.16716012,"T + (R - 8.485387)"
7,0.08196716,"R - (D - (T * 3.9650998))"
9,0.0668767,"10.288892 - ((T * (R * -0.40398827)) + D)"
11,0.063849896,"((-2.2005465 - (R * (T * -0.023237228))) * D) + 32.057487"
13,0.053136263,"((((T - (R - D)) * -0.42134264) + 12.275952) * T) + -19.044874"
