Complexity,Loss,Equation
1,0.40401527,"4.062436"
3,0.20366578,"R - 4.781995"
5,0.16716012,"T + (R - 8.485387)"
7,0.124717385,"((T + R) * 1.8894277) - D"
9,0.07397624,"(((R + T) * 1.5799421) + T) - D"
11,0.052352484,"(((D * -0.0451762) + 1.3398684) * (T * R)) - 11.012486"
