complexity,loss,equation,score,sympy_format,lambda_format
1,0.40408033,4.05602,0.0,4.05602000000000,PySRFunction(X=>4.05602000000000)
3,0.19065787,RadiusTerm + -9.834191,0.37556656477284645,RadiusTerm - 9.834191,PySRFunction(X=>RadiusTerm - 9.834191)
5,0.16477731,(DistanceTerm * 0.34710383) + RadiusTerm,0.07294281966312136,DistanceTerm*0.34710383 + RadiusTerm,PySRFunction(X=>DistanceTerm*0.34710383 + RadiusTerm)
7,0.05530172,((DistanceTerm + RadiusTerm) + 1.6557926) + TemperatureTerm,0.5458954574193774,DistanceTerm + RadiusTerm + TemperatureTerm + 1.6557926,PySRFunction(X=>DistanceTerm + RadiusTerm + TemperatureTerm + 1.6557926)
9,0.055298712,DistanceTerm + ((RadiusTerm + 1.4872643) + (TemperatureTerm * 1.0100601)),2.7197000466864758e-05,DistanceTerm + RadiusTerm + TemperatureTerm*1.0100601 + 1.4872643,PySRFunction(X=>DistanceTerm + RadiusTerm + TemperatureTerm*1.0100601 + 1.4872643)
