Variable,Mean Exponent,Median Exponent,Weighted Mean,Weighted Std,Minimum,Maximum,95% CI Lower,95% CI Upper,Mean R2,Mean RMSE,Experiments
T,4.008736524710721,3.9602267203678485,5.386014667893579,2.1812409474114105,-6.871226738829818,15.279022635983143,5.325210409242519,5.451026988827172,0.489316723143604,0.13450849589596017,5000
R,1.4653854068698715,1.491437076860451,1.64095675507863,0.49729489378366054,-0.3201604301731722,5.748815900347935,1.6274063305743511,1.6554731073668443,0.6230233161308762,0.13304763057641295,5000
D,-1.469532225296812,-1.5472430667825037,-1.524440659607629,0.3124616163747873,-2.6487695095620665,1.2378205849056583,-1.5335151400101024,-1.515920682687143,0.7390196401717645,0.1365357214381089,5000
