Exponent,Intercept,R2,RMSE,Neighbours,Experiment,CentreIndex
-1.5296410171114931,34.10535725241189,0.7753501752481421,0.1456456217265121,50,1,6773
-1.563326809113951,33.38404973738496,0.8670982733185056,0.12203580657314415,50,2,4362
-1.5088978601846772,33.42393765672392,0.8766029329063306,0.11651174945113904,50,3,10406
-1.369352355589055,29.75842763631946,0.5731335552789856,0.217598464275022,50,4,13258
-1.0495821870783724,22.898448892144486,0.7391632697640701,0.09939026017059675,50,5,5228
-0.5929246444057322,14.73495828645258,0.05939003105084495,0.21532188708242483,50,6,15337
-0.7187025323640747,17.03588694403286,0.4735626056097809,0.08301002719333347,50,7,12777
-1.821235845833711,39.703386492900755,0.9512984620403632,0.11775615456873993,50,8,3332
-1.478388732946412,31.487233414314073,0.8230668712219003,0.12015510073030054,50,9,18772
-1.3474034358995008,29.63913172329304,0.8188734392915856,0.1271074556448504,50,10,877
-2.1546121464476293,47.104829827195836,0.8718854315400576,0.18838830584952126,50,11,13074
-0.9045378942556832,21.468420636621786,0.38816734584457824,0.09888949553046042,50,12,8791
-1.4192994243895996,31.815559310922065,0.8677858325957852,0.0923772281547393,50,13,13076
-1.6568994498547345,35.7051985661143,0.8197968488875723,0.11893073520657965,50,14,15480
-1.7501123062003938,38.81535861094553,0.8418305894150728,0.13806494496492666,50,15,13744
-1.3040621026467958,29.601212663473866,0.8485896828158759,0.08397617192455818,50,16,13015
-0.965402822618302,23.039311486521584,0.23768527224414637,0.16541044509269912,50,17,16817
-1.4030636108108958,29.978660173650066,0.8419201228610107,0.09266180229905978,50,18,14037
-1.5815365687710838,35.196824643608934,0.8987856395297167,0.1007718343971505,50,19,16274
-1.703217483675807,37.04650401885452,0.9332213990493058,0.08394070404511408,50,20,8056
-1.2857729689901038,27.574690801814356,0.8050719873808463,0.1006033030467182,50,21,4056
-1.3474663322472322,30.260675395482906,0.798076442998722,0.09131748757218813,50,22,4698
-1.925568843613449,40.88901287058866,0.9100931305142803,0.10288187351258057,50,23,12242
-0.9982933717644997,23.554555524005412,0.44766481264585867,0.18331857574271224,50,24,10635
-2.085266765895174,45.65245290445131,0.8671568488843046,0.17850204694968122,50,25,1543
-1.1526866730759147,26.93100278553646,0.3314357731973181,0.22727613035252578,50,26,4087
-1.8496224719170737,40.48367260312729,0.9283534586440002,0.12937192055588895,50,27,19351
-1.3444944977273539,30.188833890083345,0.7890469198923765,0.10804237197892222,50,28,14524
-1.1795186060143423,27.18415506639792,0.7953823554765567,0.09347940016876417,50,29,15099
-0.9459499022950983,22.478734874854652,0.48737648581885884,0.09631905734465984,50,30,3939
