Exponent,Intercept,R2,RMSE,Neighbours,Experiment,CentreIndex
1.4049945951231797,-8.506020150880591,0.9335339285387807,0.0973128885542616,50,1,3957
1.141637133545833,-6.049695542751865,0.5362917383873224,0.13351489064987906,50,2,677
0.7665331420599206,-2.7724675121220637,0.5692097017782791,0.16432208689816338,50,3,12546
1.3835496774237506,-8.219675633632384,0.8339218320759798,0.10514094973634114,50,4,13660
0.8003695959352315,-3.0389157886165608,0.5478996085077604,0.1143735030613929,50,5,15452
0.8129966625970082,-3.57369253455974,0.13697238513143906,0.13740197575353452,50,6,19009
4.6865874538300085,-35.847473829491925,0.8201888553714989,0.1780418804126972,50,7,9947
1.883195085543102,-12.576488908470965,0.6840286706239294,0.12448496595911812,50,8,16583
-0.31287185853980887,6.130915646415453,0.017093725498377843,0.13997563028441926,50,9,14325
1.3438953137629335,-7.950400142025597,0.5551192491101926,0.13765290062663008,50,10,5543
1.341039251354188,-7.661066720858192,0.7010890131310765,0.13579111892772913,50,11,16902
0.6932717297794595,-2.0366529913759868,0.37250453507137116,0.21713428159337153,50,12,1066
-0.04873847437513919,3.378039470432522,0.0037114175341423916,0.10986457847865355,50,13,11977
0.6197747485947417,-1.9269769031842685,0.07166363653674901,0.14827694157159718,50,14,18807
1.7398900001093651,-11.025467872303992,0.9254074732417317,0.09198470739188955,50,15,13179
1.5909954930167525,-10.033086637647736,0.193867468703245,0.14289231177633074,50,16,18741
0.7534719365201413,-3.404020761964117,0.4682206223494296,0.0749048005814696,50,17,1123
2.9248647874420164,-21.16094876463599,0.41758029412609243,0.13031496408625715,50,18,10648
1.635860721734663,-10.579015474228258,0.8954711360205213,0.12396925467057716,50,19,15612
1.9870610560308928,-13.115833228518829,0.9244741890939967,0.1442570365630605,50,20,12846
0.4993614914490139,-0.331429047090972,0.4824440186609642,0.10337819092316998,50,21,17610
1.0543304821921589,-5.326232221261794,0.448406663593369,0.16481616316872957,50,22,9252
-0.01950980070116456,3.1915159773089767,0.0003547914006613029,0.1356908887664411,50,23,13652
1.617875273023352,-10.536275781112947,0.7651045521684803,0.1584372197644662,50,24,8395
0.38431693456485705,-0.03263702919330491,0.056441659500986896,0.12498525482161336,50,25,17442
2.059330176826299,-13.670695867167073,0.7475536947671094,0.12168917396373903,50,26,2388
0.9423722721405257,-4.273380185873676,0.6174718605108704,0.1100348607895957,50,27,5082
1.9388838443344778,-12.818366574680532,0.9707013291255498,0.11536587493688348,50,28,1935
1.2792037497004667,-7.505223256867167,0.8789290909660046,0.17479594766148507,50,29,14042
0.9922592541716927,-4.788062922627022,0.40264080568824967,0.16401126447699999,50,30,4654
1.6909695404542997,-10.91668431055808,0.8050332143835716,0.11654944278561333,50,31,6342
1.50731778050553,-9.193897509191398,0.8038098964395765,0.1452873761099697,50,32,16732
1.1680096981767067,-6.07783982556781,0.33982529858073174,0.1755780917195296,50,33,7203
2.3972559347828226,-16.810520305007593,0.7438358937460197,0.13672120261218354,50,34,2916
0.9000289621216473,-4.327149277949685,0.15462907449526653,0.13793048441519776,50,35,419
1.8594533374293394,-12.342738315257353,0.9096206383346991,0.1210611222819512,50,36,4533
1.6389175017014421,-10.510468344605517,0.31720693144262824,0.12000578421376361,50,37,18293
2.463776547518544,-17.42244820312343,0.5045545682847207,0.09119818838514643,50,38,10972
2.032263190514348,-13.678547718198715,0.8865827476693656,0.13472095317298127,50,39,19896
0.6771797748593545,-1.90858143962258,0.28594133415402057,0.19414926108641806,50,40,4302
1.5728714060673699,-9.735974127844756,0.6034010357056994,0.1623607174979323,50,41,7029
