temperature_K,radius_m,distance_m,flux_proxy,logT,logR,logD,logF
4896.8936,582648750.0,3.30671724711508e+19,6783.598485278872,3.689920667743992,8.765406819066532,19.519397060572107,3.8314601345334083
4397.8647,493251300.0,7.17711015091507e+18,38620.2914170563,3.643241864190923,8.693068238540716,18.855949611631157,4.58681554651075
5307.876,552942360.0,3.8723051732727415e+19,9817.50670748396,3.7249207685358816,8.742679861795427,19.587969576385774,3.9920012066597748
5952.5596,1655418150.0,2.277680441279335e+19,262440.35566148954,3.774703752471968,9.218907712492426,19.357492792471714,5.419030617645381
4525.4976,597258450.0,2.5233672718895784e+19,4903.220495804258,3.6556663389120234,8.776162302854585,19.40198046595422,3.690481423729126
5047.739,1531096560.0,2.964563856017102e+19,3557.3173362714274,3.703096891047844,9.185002580739276,19.471960809384033,3.5511226088586207
4469.9546,472728150.0,3.680285339553514e+19,3186.5983073416205,3.6503031121543956,8.674611464426162,19.565881491659795,3.5033273211141505
4752.3193,353693880.0,3.3047314667213558e+19,3801.553118290341,3.6769056124380914,8.54862754523962,19.51913617569482,3.5799610631692707
5981.9805,1414984230.0,2.615268434561341e+19,100897.71919302756,3.776844992988813,9.150751599675047,19.41751627204291,5.003881349060716
4520.7153,493947000.0,9.461132071827548e+18,14263.14603732937,3.6552071574363616,8.693680352076726,18.97594310502043,4.154215328878895
4185.853,380617470.0,2.68553414855602e+19,2634.763827570657,3.6217839725908605,8.580488718135118,19.429030679122672,3.420741692421557
3488.9753,384374250.0,4.6091770112122993e+18,10241.718174997312,3.542697894896184,8.584754285714798,18.663623387125728,4.010372821027033
5525.712,510295950.0,3.808750874771726e+19,7927.174093914833,3.7423882457505555,8.707822121536951,19.58078256697697,3.899118396126577
6527.6284,956726640.0,5.248822628726781e+19,16946.44560005919,3.814755423254543,8.980787867036646,19.72006189708387,4.229078621821987
3581.0442,310908330.0,1.3094904862730746e+19,1314.7003361474665,3.55400968144129,8.492632358018009,19.117102347530924,3.118826773975331
5267.064,583622730.0,2.509608224374218e+19,16426.2018359844,3.721568595493986,8.766132197754212,19.399605928942194,4.215537154891864
4907.2896,573674220.0,1.672400369935161e+19,20372.36645936904,3.6908416882989767,8.75866533382299,19.22334025494438,4.309041479690003
5220.0796,493738290.0,2.6951941746436653e+19,9790.015796387894,3.717677125526627,8.693496808586536,19.43059005929584,3.9907833925466067
6238.7603,954778680.0,5.967844206845511e+19,16996.811555745528,3.7950982998815075,8.979902712741785,19.775817477167283,4.230367459400737
5525.099,613398690.0,5.478073700317054e+19,9368.49327017726,3.7423400642157016,8.787742844149925,19.738627870821503,3.97166974915187
6022.2456,680533740.0,3.004564446706917e+19,20075.45288281328,3.7797584629917123,8.832849661842912,19.477781523892283,4.302665351324976
3791.9631,270279450.0,1.901966306328652e+19,1370.6450108453782,3.5788641025203654,8.431813026494583,19.279202819065564,3.1369249895861477
4466.2607,503199810.00000006,1.7803635075369642e+19,5109.091250129518,3.649944069668462,8.701740468454766,19.2505086838818,3.708343659400569
5281.0425,704465820.0,2.8276139864906326e+19,19501.63350444864,3.7227196625540526,8.847859926408471,19.45142012118585,4.290070990452565
5379.548,1012104360.0,3.202956058134314e+19,35797.22358004382,3.7307457869391794,9.005225295740324,19.505550980549337,4.553849344224173
4502.689,481146120.0,1.130433238893649e+19,14406.745686640124,3.653471951349288,8.682276987959535,19.053244918882847,4.158565889908378
5830.193,996868530.0,6.247931572300903e+19,17123.59622392133,3.7656829316797076,8.998637886034413,19.795736264477622,4.233594978576524
5816.089,689716980.0,5.826968707544738e+19,12797.015352603712,3.7646310436407258,8.838670917926782,19.765442685813312,4.107108690972784
3630.214,320230710.0,1.4150634223729652e+19,1175.7164642333564,3.559932227317024,8.505462978251623,19.150775905139,3.0703025999155757
5899.5767,881312760.0,1.2702728233735668e+19,172861.2837968612,3.7708208517354893,8.945130058057524,19.103897006751907,5.237697734070873
5357.797,485737740.0,4.397845091839721e+19,6021.042527770357,3.7289862547275887,8.68640184783581,19.643239927856957,3.779671694722638
5689.805,1015513290.0,2.8346435396326863e+19,42960.31277264945,3.75509738258573,9.00668561138031,19.452498453527394,4.633067434584918
3515.4963,352093770.0,1.3308487631068635e+19,1636.0214586790737,3.545986645184066,8.546658340666438,19.12412870530187,3.2137889957441015
3390.4304,318074040.0,9.256196825196124e+18,1367.0127021584142,3.5302548334479664,8.502528225080894,18.96643258094669,3.135772550011625
