Complexity,Loss,Equation
1,0.40401527,"4.062436"
3,0.20366578,"R + -4.781995"
5,0.16716011,"R + (T - 8.485371)"
7,0.1342501,"((R * 2.240825) + T) - D"
9,0.059118986,"((R - D) * 1.4073231) - (T * -5.1325293)"
13,0.054917775,"((D * -1.4909322) - ((R * -1.5931311) + -2.4762685)) - (T * -4.459906)"
17,0.05362631,"(((((D * 0.00021526734) + -0.005477978) * (T * R)) * (0.9118879 - D)) - 0.5726907) * D"
