epoch,train_loss,test_loss,learning_rate,elapsed_seconds
1,12.874918382263184,7.059846318054199,0.001,7.1812355518341064
2,1.6117446055412292,0.48490575008392334,0.001,7.1812355518341064
3,0.40577334961891176,0.21134611020088195,0.001,7.1812355518341064
4,0.34872335205078125,0.19823104391098023,0.001,7.1812355518341064
5,0.3040125901222229,0.16992667500972747,0.001,7.1812355518341064
6,0.2688203278541565,0.12285735859870911,0.001,7.1812355518341064
7,0.26080988712310793,0.16589775428771972,0.001,7.1812355518341064
8,0.2504236865520477,0.08885230844020843,0.001,7.1812355518341064
9,0.2472679455280304,0.08268406093120576,0.001,7.1812355518341064
10,0.23324273834228515,0.13983269040584564,0.001,7.1812355518341064
11,0.22804021997451782,0.11961224747896194,0.001,7.1812355518341064
12,0.21873419210910797,0.10856187204122543,0.001,7.1812355518341064
13,0.21340591378211976,0.10066911226511002,0.001,7.1812355518341064
14,0.22471832790374757,0.1546348454117775,0.001,7.1812355518341064
15,0.19758554887771607,0.14477440056800842,0.0005,7.1812355518341064
16,0.18768451647758483,0.11416447107791901,0.0005,7.1812355518341064
17,0.1904266626358032,0.09714380316734314,0.0005,7.1812355518341064
18,0.18925282106399535,0.08778696613311768,0.0005,7.1812355518341064
19,0.1795476322889328,0.0991175059914589,0.0005,7.1812355518341064
20,0.1832957499027252,0.10145078542232513,0.0005,7.1812355518341064
21,0.16992342175245284,0.1476374600172043,0.00025,7.1812355518341064
22,0.17218533272743225,0.09560409421920776,0.00025,7.1812355518341064
23,0.17574468266963958,0.08872890092134476,0.00025,7.1812355518341064
24,0.16872022590637206,0.12008317849636078,0.00025,7.1812355518341064
25,0.16510900630950928,0.08982298892736434,0.00025,7.1812355518341064
26,0.1700091730594635,0.09358992714881897,0.00025,7.1812355518341064
27,0.16035519952774047,0.09940287672281266,0.000125,7.1812355518341064
28,0.15961368259191513,0.11224245623350143,0.000125,7.1812355518341064
29,0.1601098247051239,0.10174755227565765,0.000125,7.1812355518341064
