Complexity,Loss,Equation
1,0.40408033,"4.0560255"
3,0.1906579,"RadiusTerm + -9.834409"
5,0.16477731,"RadiusTerm + (DistanceTerm * 0.3471026)"
7,0.055301737,"((RadiusTerm + 1.6557363) + DistanceTerm) + TemperatureTerm"
9,0.055298157,"(RadiusTerm + 1.4985892) + ((TemperatureTerm * 1.0092725) + DistanceTerm)"
