Complexity,Loss,Equation
3,-3.1204913,"0.61390036 * 1.5343616"
5,-25.126593,"(-0.49375892 / 0.30874607) - D"
6,-62565.016,"log(0.28468373) - (D ^ T)"
7,-62565.35,"(-0.49375892 / 0.30874607) - (D ^ T)"
9,-1.7124187e29,"-0.9847704 - (((1.5343616 * D) ^ D) / 0.61390036)"
17,-1.1325755e34,"(((R + -0.618926) / 0.115532465) - (((R - -1267.3085) ^ (D - R)) + -1.3309256)) * T"
