complexity,loss,equation,score,sympy_format,lambda_format
1,0.40408033,4.0560904,0.0,4.05609040000000,PySRFunction(X=>4.05609040000000)
3,0.19065787,RadiusTerm + -9.834266,0.37556656477284645,RadiusTerm - 9.834266,PySRFunction(X=>RadiusTerm - 9.834266)
5,0.1647773,RadiusTerm + (DistanceTerm * 0.3471095),0.07294285000710596,DistanceTerm*0.3471095 + RadiusTerm,PySRFunction(X=>DistanceTerm*0.3471095 + RadiusTerm)
7,0.055301767,RadiusTerm + ((TemperatureTerm + DistanceTerm) + 1.6560549),0.5458950021339983,DistanceTerm + RadiusTerm + TemperatureTerm + 1.6560549,PySRFunction(X=>DistanceTerm + RadiusTerm + TemperatureTerm + 1.6560549)
9,0.05529526,(RadiusTerm + ((TemperatureTerm * 1.0065789) + 1.5449136)) + DistanceTerm,5.88352163165559e-05,DistanceTerm + RadiusTerm + TemperatureTerm*1.0065789 + 1.5449136,PySRFunction(X=>DistanceTerm + RadiusTerm + TemperatureTerm*1.0065789 + 1.5449136)
